Text,Target
이 제품을 꼭 사고 싶어요.,1
이번에 할인하니까 구매해야겠어요.,1
너무 좋아 보여서 바로 주문하려고요.,1
주문할까 고민 중인데 곧 결정할 것 같아요.,1
사고 싶은 마음이 점점 커지고 있어요.,1
이거 구매해서 친구에게 선물하려고 해요.,1
집에 두면 유용할 것 같아서 곧 사려고요.,1
이 가격이면 바로 사야죠.,1
이번 기회에 꼭 사야겠어요.,1
품질이 좋아 보여서 사려고 해요.,1
이번 주에 사려고 계획 중이에요.,1
이건 정말 사고 싶어요.,1
평소에 사고 싶었는데 이제 사려고요.,1
할인 끝나기 전에 바로 구매할 예정이에요.,1
이번 기회에 구매하려고요.,1
얼른 사서 사용하고 싶어요.,1
가족 선물로 이거 살 계획이에요.,1
곧 집에 들여놓을 예정이에요.,1
이 제품을 오래 기다렸어요. 이제 살 때가 된 것 같아요.,1
바로 주문할 예정이에요.,1
가격이 적당해서 이번 기회에 구매하려고요.,1
정말 마음에 들어서 바로 구매할 거예요.,1
온라인에서 주문해서 곧 받을 예정이에요.,1
이건 꼭 사야겠어요.,1
할인 기간 중에 꼭 사고 말겠어요.,1
주변에서 좋다고 해서 사려고요.,1
신제품이라 바로 사려고요.,1
곧 사러 가려고 해요.,1
지금 주문하면 곧 받을 수 있겠죠?,1
주문하기 직전까지 고민 중이에요.,1
이번 주 안에 구매할 예정이에요.,1
마음이 끌려서 사려고 해요.,1
곧 결제할 생각이에요.,1
온라인에서 바로 구매할 예정이에요.,1
품절되기 전에 사야겠어요.,1
지금이 기회라고 생각해서 사려고 해요.,1
집에서 유용할 것 같아서 곧 주문할 예정이에요.,1
이거 사고 싶어서 몇 주째 고민 중이에요.,1
할인 받으면 바로 사려고요.,1
친구가 추천해서 사려고 해요.,1
새로운 제품이라 바로 사려고요.,1
곧 구매해서 사용해 볼 계획이에요.,1
이 제품이 너무 좋아 보여서 사야겠어요.,1
가족과 함께 쓰려고 사려고요.,1
이 제품이 필요해서 사려고 해요.,1
마음에 들어서 곧 사려고요.,1
온라인에서 할인해서 바로 주문하려고요.,1
살 계획이 없었는데 너무 좋아 보여서 사려고요.,1
이거 사면 일상이 편해질 것 같아요.,1
주문할까 계속 고민 중이에요.,1
세일 중이라 바로 사려고요.,1
좋은 평가가 많아서 사려고요.,1
이번엔 안 살 것 같아요.,0
가격이 너무 비싸서 포기하려고요.,0
사용할 일이 없을 것 같아서 안 사려고요.,0
그다지 필요성을 못 느껴서 안 살 것 같아요.,0
마음에 들지 않아서 사지 않을 예정이에요.,0
생각보다 별로라서 구매하지 않을 거예요.,0
지금은 사지 않아도 될 것 같아요.,0
그렇게 좋은 제품은 아닌 것 같아서 안 사려고요.,0
곧 세일할 것 같아서 지금은 안 살래요.,0
다른 제품이 더 좋아 보여서 이건 안 살래요.,0
살까 말까 고민했는데 결국 안 사기로 했어요.,0
이건 제 취향이 아닌 것 같아요.,0
가격이 비싸서 이번엔 안 살래요.,0
별로 필요가 없을 것 같아요.,0
생각보다 기능이 부족해 보여서 안 사려고요.,0
지금 당장은 필요 없을 것 같아요.,0
조금 더 고민해 보고 나중에 사려고요.,0
기대했던 것만큼 좋아 보이지 않아요.,0
리뷰가 별로라서 사지 않으려고요.,0
이건 제게 필요 없는 것 같아요.,0
더 저렴한 제품이 있어서 이건 안 사려고요.,0
품질이 의심스러워서 사지 않을 예정이에요.,0
다른 제품이 있어서 이건 안 살래요.,0
필요 없을 것 같아서 구매하지 않을 거예요.,0
이 가격에 살 만큼은 아닌 것 같아요.,0
살 필요가 없어서 안 살 예정이에요.,0
비슷한 제품을 이미 가지고 있어서 안 살래요.,0
곧 필요 없을 것 같아서 안 사려고요.,0
가격이 너무 비싸서 안 살래요.,0
그다지 마음에 들지 않아서 구매하지 않을 예정이에요.,0
품질이 걱정돼서 안 사려고요.,0
주변에서 별로라고 해서 구매하지 않을 거예요.,0
사기엔 너무 비싼 것 같아요.,0
기대했던 것과 달라서 구매하지 않을 생각이에요.,0
할인을 기다리고 있어서 이번엔 안 살래요.,0
지금 당장은 필요하지 않아요.,0
더 좋은 제품이 있어서 이건 안 사려고요.,0
리뷰를 보니 별로인 것 같아요.,0
제품이 마음에 들지 않아서 안 살 계획이에요.,0
사고 싶지 않아서 이번엔 안 살래요.,0
그렇게 필요 없을 것 같아요.,0
기대했던 것보다 별로라서 구매하지 않으려고요.,0
가격이 내려가면 살지 모르겠지만 지금은 안 살래요.,0
제게 필요한 제품이 아니에요.,0
다른 제품을 사기로 해서 이건 안 살래요.,0
마음에 들지 않아서 안 살 예정이에요.,0
가격이 좀 더 내리면 사려고요.,0
곧 필요 없을 것 같아서 이번엔 안 살래요.,0
지금은 사지 않으려고요.,0
